id,x,y,demanda_gasohol,demanda_diesel,ventana_inicio,ventana_fin
0,35.0,35.0,0,0,04:00,09:00
1,41.0,49.0,360,390,04:10,07:30
2,35.0,17.0,530,370,04:10,07:30
3,55.0,45.0,400,410,04:50,07:10
4,55.0,20.0,410,340,06:10,06:50
5,15.0,30.0,390,400,04:20,07:20
6,25.0,30.0,530,260,05:10,06:20
7,20.0,50.0,400,400,04:20,06:50
8,10.0,43.0,370,390,05:20,06:00
9,55.0,60.0,360,330,05:20,06:00
10,30.0,60.0,330,410,05:40,06:30
11,20.0,65.0,360,330,04:50,05:30
12,50.0,35.0,440,470,04:10,07:20
13,30.0,25.0,480,350,06:20,07:00
14,15.0,10.0,310,360,04:30,07:10
15,30.0,5.0,350,440,04:50,05:30
16,10.0,20.0,420,360,04:20,06:20
17,5.0,30.0,350,350,06:00,07:10
18,20.0,40.0,430,440,04:40,06:20
19,15.0,60.0,330,320,04:30,06:30
20,45.0,65.0,490,440,05:10,07:10
21,45.0,20.0,260,400,04:10,07:20
22,45.0,10.0,410,450,05:10,06:10
23,55.0,5.0,400,370,04:50,05:30
24,65.0,35.0,440,400,04:50,07:10
25,65.0,20.0,410,390,06:30,07:10
26,45.0,30.0,390,390,04:50,07:30
27,35.0,40.0,430,450,04:00,05:20
28,41.0,37.0,380,460,04:00,06:20
29,64.0,42.0,410,440,04:20,06:30
30,40.0,60.0,350,400,04:40,05:50
31,31.0,52.0,310,440,04:10,07:20
32,35.0,69.0,460,400,05:00,07:10
33,53.0,52.0,360,430,04:20,05:40
34,65.0,55.0,430,470,04:30,07:10
35,63.0,65.0,410,400,05:50,07:00
36,2.0,60.0,410,390,04:40,06:00
37,20.0,20.0,410,390,04:40,07:20
38,5.0,5.0,410,400,05:10,05:50
39,60.0,12.0,360,350,04:30,05:50
40,40.0,25.0,450,360,05:00,06:00
41,42.0,7.0,450,370,05:10,06:20
42,24.0,12.0,410,400,04:20,05:40
43,23.0,3.0,340,350,05:20,07:10
44,11.0,14.0,340,410,04:50,05:30
45,6.0,38.0,410,290,04:20,05:40
46,2.0,48.0,390,480,05:00,07:00
47,8.0,56.0,360,480,04:30,07:00
48,13.0,52.0,420,410,04:20,07:20
49,6.0,68.0,270,360,05:30,06:20
50,47.0,47.0,330,350,04:40,07:30
51,49.0,58.0,450,420,04:30,06:30
52,27.0,43.0,350,430,04:10,07:20
53,37.0,31.0,410,450,05:20,06:00
54,57.0,29.0,390,430,05:30,07:20
55,63.0,23.0,380,450,06:00,06:40
56,53.0,12.0,420,390,05:40,06:50
57,32.0,12.0,410,300,04:40,06:50
58,36.0,26.0,390,430,06:50,07:30
59,21.0,24.0,400,370,04:10,07:30
60,17.0,34.0,440,380,05:10,07:30
61,12.0,24.0,370,400,04:20,06:20
62,24.0,58.0,310,360,04:40,05:20
63,27.0,69.0,460,410,04:30,07:00
64,15.0,77.0,450,360,04:40,05:50
65,62.0,77.0,360,440,04:40,06:00
66,49.0,73.0,400,430,05:40,06:40
67,67.0,5.0,350,300,05:10,05:50
68,56.0,39.0,360,380,05:50,07:00
69,37.0,47.0,470,450,04:30,05:10
70,37.0,56.0,380,360,06:00,07:20
71,57.0,68.0,470,410,04:30,06:30
72,47.0,16.0,490,370,04:20,07:20
73,44.0,17.0,490,360,04:30,06:20
74,46.0,13.0,400,370,06:10,06:50
75,49.0,11.0,290,380,04:20,07:20
76,49.0,42.0,390,410,05:00,05:30
77,53.0,43.0,300,440,06:40,07:20
78,61.0,52.0,430,350,05:10,06:10
79,57.0,48.0,250,380,05:20,05:50
80,56.0,37.0,440,390,06:10,07:20
81,55.0,54.0,330,390,04:50,06:20
82,15.0,47.0,420,440,04:20,07:20
83,14.0,37.0,480,310,04:20,07:20
84,11.0,31.0,310,340,05:30,06:00
85,16.0,22.0,370,390,04:20,07:00
86,4.0,18.0,390,410,04:40,06:30
87,28.0,18.0,310,430,05:20,05:50
88,26.0,52.0,310,490,04:50,05:50
89,26.0,35.0,420,390,05:00,07:40
90,31.0,67.0,380,360,04:40,06:40
91,15.0,19.0,430,330,04:20,07:20
92,22.0,22.0,450,450,04:10,05:00
93,18.0,24.0,390,380,06:00,07:20
94,26.0,27.0,510,320,04:30,07:00
95,25.0,24.0,300,420,04:10,07:30
96,22.0,27.0,410,370,04:50,07:30
97,25.0,21.0,310,390,05:30,07:10
98,19.0,21.0,410,390,04:20,07:20
99,20.0,26.0,530,380,05:10,05:50
100,18.0,18.0,350,320,06:30,07:20
