id,x,y,demanda_gasohol,demanda_diesel,ventana_inicio,ventana_fin
0,35.0,35.0,0,0,04:00,09:00
36,2.0,60.0,810,790,04:40,06:00
68,56.0,39.0,720,780,05:50,07:00
22,45.0,10.0,810,850,05:10,06:10
3,55.0,45.0,790,810,04:50,07:10
31,31.0,52.0,620,840,04:10,07:20
42,24.0,12.0,810,800,04:20,05:40
8,10.0,43.0,730,790,05:20,06:00
24,65.0,35.0,880,800,04:50,07:10
53,37.0,31.0,820,850,05:20,06:00
63,27.0,69.0,920,810,04:30,07:00
21,45.0,20.0,520,800,04:10,07:20
71,57.0,68.0,940,810,04:30,06:30
78,61.0,52.0,860,750,05:10,06:10
12,50.0,35.0,880,870,04:10,07:20
65,62.0,77.0,730,840,04:40,06:00
95,25.0,24.0,600,820,04:10,07:30
58,36.0,26.0,780,830,06:50,07:30
1,41.0,49.0,720,790,04:10,07:30
38,5.0,5.0,830,800,05:10,05:50
19,15.0,60.0,670,720,04:30,06:30
67,67.0,5.0,700,700,05:10,05:50
11,20.0,65.0,710,730,04:50,05:30
15,30.0,5.0,700,840,04:50,05:30
62,24.0,58.0,630,760,04:40,05:20
30,40.0,60.0,700,800,04:40,05:50
